mt_id,x,y,density,mt,t_seconds,mt_length,deltaR_um
1_250,453.688,485.344,250,1,196,5.9734,1.039960788
1_250,448.906,488.031,250,1,198,5.9734,1.097041348
1_250,443.562,491.031,250,1,200,5.9734,1.225697124
2_250,167.083,660.042,250,2,2,5.2204,0
2_250,165.792,654.042,250,2,4,5.2204,1.227463743
2_250,165.417,650.75,250,2,6,5.2204,0.662657951
2_250,164.917,643.667,250,2,8,5.2204,1.420125192
2_250,165.333,638.083,250,2,10,5.2204,1.119894852
2_250,165.625,633.083,250,2,12,5.2204,1.001703828
2_250,166.208,627.083,250,2,14,5.2204,1.205651509
2_250,166.25,621.042,250,2,16,5.2204,1.2082292
2_250,168.5,615.125,250,2,18,5.2204,1.266070914
2_250,168.583,610.958,250,2,20,5.2204,0.833565306
2_250,168.667,604.917,250,2,22,5.2204,1.208316796
2_250,168.292,600.917,250,2,24,5.2204,0.803507934
2_250,167.583,595.125,250,2,26,5.2204,1.167046614
2_250,167.875,589.875,250,2,28,5.2204,1.051622822
2_250,167.292,584.958,250,2,30,5.2204,0.990288402
2_250,167.333,580.042,250,2,32,5.2204,0.983234194
2_250,166.792,574.083,250,2,34,5.2204,1.1967015
2_250,165.25,568.031,250,2,36,5.2204,1.249071143
2_250,165.531,561.969,250,2,38,5.2204,1.213701858
2_250,165.438,555.969,250,2,40,5.2204,1.200144141
2_250,164.906,551.531,250,2,42,5.2204,0.89395454
2_250,166.594,547.094,250,2,44,5.2204,0.949448535
2_250,167.344,542.875,250,2,46,5.2204,0.857028844
2_250,167.875,537.938,250,2,48,5.2204,0.993094759
2_250,168.781,533.062,250,2,50,5.2204,0.991891365
2_250,169.531,528.125,250,2,52,5.2204,0.998728572
2_250,170.688,521.969,250,2,54,5.2204,1.25275672
2_250,172.281,517.094,250,2,56,5.2204,1.025734352
2_250,173.906,509.938,250,2,58,5.2204,1.467637026
2_250,175.688,505.062,250,2,60,5.2204,1.038285125
2_250,178,500.656,250,2,62,5.2204,0.995151848
2_250,181.562,495.875,250,2,64,5.2204,1.192406055
2_250,184,490.844,250,2,66,5.2204,1.11811994
2_250,185.281,486.875,250,2,68,5.2204,0.834120423
2_250,188.188,480.688,250,2,70,5.2204,1.367181305
2_250,189.062,475.156,250,2,72,5.2204,1.120123208
2_250,191.75,469,250,2,74,5.2204,1.34345346
2_250,194.688,464.875,250,2,76,5.2204,1.012866605
2_250,196.594,461.031,250,2,78,5.2204,0.85811822
2_250,200.125,455.906,250,2,80,5.2204,1.244726251
2_250,202.781,450.875,250,2,82,5.2204,1.137810125
2_250,204.938,445.031,250,2,84,5.2204,1.245872947
2_250,206.031,440.75,250,2,86,5.2204,0.883665321
2_250,206.312,435,250,2,88,5.2204,1.151372416
2_250,207.062,429.906,250,2,90,5.2204,1.0297832
2_250,207.781,425,250,2,92,5.2204,0.99168134
2_250,209.875,419.031,250,2,94,5.2204,1.265129195
2_250,210.75,413.969,250,2,96,5.2204,1.027413627
2_250,211.531,409,250,2,98,5.2204,1.006000437
2_250,211.438,403.875,250,2,100,5.2204,1.025168747
2_250,212.219,399.875,250,2,102,5.2204,0.815106398
2_250,213.344,396.094,250,2,104,5.2204,0.788963523
2_250,213.625,391.938,250,2,106,5.2204,0.833097761
2_250,213.406,389,250,2,108,5.2204,0.589230176
2_250,214,384.906,250,2,110,5.2204,0.827373483
2_250,212.156,380.062,250,2,112,5.2204,1.036622824
2_250,211.531,373.844,250,2,114,5.2204,1.249866377
2_250,211.219,368.969,250,2,116,5.2204,0.976994759
2_250,211.281,363,250,2,118,5.2204,1.193864398
2_250,211.344,358.875,250,2,120,5.2204,0.825096213
2_250,211.281,353.969,250,2,122,5.2204,0.981280898
2_250,211.25,350.062,250,2,124,5.2204,0.781424596
2_250,211.625,345.781,250,2,126,5.2204,0.859478586
2_250,211.25,342.062,250,2,128,5.2204,0.747571696
2_250,211.812,338.219,250,2,130,5.2204,0.776775206
2_250,211.188,332.031,250,2,132,5.2204,1.243876521
2_250,210.281,327,250,2,134,5.2204,1.022420853
2_250,210.312,322.031,250,2,136,5.2204,0.99381934
2_250,210.281,316.125,250,2,138,5.2204,1.181216271
2_250,208.625,312,250,2,140,5.2204,0.88899856
2_250,208.094,305.156,250,2,142,5.2204,1.372913646
2_250,208,301.188,250,2,144,5.2204,0.79382265
2_250,206.281,296.031,250,2,146,5.2204,1.08719106
2_250,206.031,289.844,250,2,148,5.2204,1.238409771
2_250,206.812,284.812,250,2,150,5.2204,1.018449508
2_250,206.375,280.156,250,2,152,5.2204,0.935292575
2_250,205.719,274,250,2,154,5.2204,1.23817078
